step,train_mean_reward_mean,train_mean_reward_std,eval_mean_reward_mean,eval_mean_reward_std
5000,14.081973803333332,0.6222684224992007,21.526887835703008,0.01154700538379227
10000,18.297323456666664,0.45666779453455686,21.141753841108137,0.6729194562524055
15000,18.474468486666666,0.8518441605454203,21.539820542602627,0.2822541303845275
20000,19.202948736666666,0.4603629012582856,21.315568615907775,0.8157814125133654
25000,19.92304975666667,0.293617328699888,21.72825006961517,0.2583711267844092
30000,19.18995993333333,1.2507335201460248,21.256045825052578,1.0007352480183163
35000,18.815349729999998,1.0050545887984548,21.023874418647296,1.1672077618126773
40000,18.940573306666664,0.27893308449560045,20.720340046614492,1.3949238047845551
45000,19.14788687,0.32026524191830724,20.81211516601297,0.5030588503873081
50000,19.538119023333334,0.5979232294804024,21.021245396328332,0.47157930485797533
55000,19.321131113333333,0.6926634259936952,20.941245856212664,1.01231867721687
60000,19.470025063333335,1.1102477482886228,20.739573728466617,1.4785527122528654
65000,18.366148166666665,0.9702671614103835,21.02029596475255,1.2122085321519689
70000,19.77563962666667,0.76140327914914,20.707864369481563,0.2602772176673277
75000,19.213867433333334,0.45171040918544875,20.45078212416666,0.19994375823360988
80000,19.187165160000003,0.4340214667670679,20.689500103595666,0.9509163937060127
85000,19.282382846666668,0.5870379403407959,20.71987261223365,1.293856045097548
90000,19.298053103333334,0.795561588617002,20.739394152595107,0.83812552978737
95000,18.951236873333333,0.25302748990432267,21.108717887979676,1.3821483979539522
100000,19.38881959,0.4279556943007686,20.97163528743501,1.3845243747394824
