step,train_mean_reward,train_std_reward,eval_mean_reward,eval_std_reward,elapsed_sec,eta_sec
5000,14.05341567,7.655685041545474,21.54022116903634,0.687216608258761,101.48719620704651,1928.2567279338837
10000,18.081232710000002,6.731838904375268,20.364819185251733,4.763846628487447,202.22878193855286,1820.0590374469757
15000,18.5345096,6.524592706858828,21.254099132063097,3.274619993806502,304.38722586631775,1724.8609465758007
20000,19.64979851,5.886335331502856,20.39304119853689,4.770546519081945,404.9267783164978,1619.7071132659912
25000,20.241441839999997,4.966007325497768,21.4445435478611,3.373745123644946,506.0450105667114,1518.1350317001343
30000,19.45965244,6.052832898568596,21.227907090933172,4.182205422573212,607.0802180767059,1416.5205088456473
35000,19.40439984,6.137252305929397,20.660897725080336,5.706781827993206,706.0745289325714,1311.2812680176326
40000,18.62313378,7.259253418439807,19.733514566207027,6.345839312797532,808.692506313324,1213.038759469986
45000,19.50312354,6.26721283242551,20.571059078815175,5.9543254305189395,938.101301908493,1146.568257888158
50000,19.249503190000002,7.17302979849999,20.811366125869018,5.7712031552450185,1067.9450278282166,1067.9450278282166
55000,19.090676329999997,7.027602037860937,19.790518697435875,6.382686517834149,1199.7770602703094,981.6357765847986
60000,19.726384180000004,6.399761307119478,19.042269702464473,7.676642630053168,1325.4848008155823,883.6565338770548
65000,18.504529910000002,6.877712134207155,19.679302716385227,6.627208979082632,1442.2395129203796,776.5905069571274
70000,19.787486310000006,6.154706772588472,20.46854433510473,6.007795639279374,1543.1186463832855,661.3365627356939
75000,19.20381885,6.667935020201042,20.462871189458376,6.001920210782001,1641.9054207801819,547.3018069267273
80000,19.57802501,6.675543964245412,20.896088956706734,5.6601732691121205,1741.3247563838959,435.331189095974
85000,19.64119724,6.0695119091877885,19.473251702226293,7.206160247822744,1840.394199371338,324.77544694788315
90000,20.079131900000004,6.3563113119557295,19.937519889679162,6.997565342178068,1941.117926120758,215.67976956897311
95000,18.902309199999998,6.8616164793065835,19.51904494744819,7.231066830220502,2041.4258720874786,107.44346695197255
100000,19.48421065,6.43278667894073,20.677562629274963,5.7259966092341035,2141.719671726227,0.0
