step,train_mean_reward,train_std_reward,eval_mean_reward,eval_std_reward,elapsed_sec,eta_sec
5000,14.718029609999999,7.088830644524836,21.52022116903634,0.6708203932499432,101.69770431518555,1932.2563819885254
10000,17.988806630000003,6.368938584938336,21.54022116903634,0.6885088557487501,204.53036832809448,1840.7733149528503
15000,17.59419222,6.898344161926474,21.818474660041772,0.4794237718671087,312.2718234062195,1769.5403326352439
20000,18.73016876,6.535841422977613,21.941776818746725,0.5208085207344108,413.6336441040039,1654.5345764160159
25000,19.662952790000006,5.519427829638431,21.950032025536608,0.6916545531062306,514.4799649715424,1543.4398949146268
30000,17.82638108,6.987892032782399,20.26967669057513,4.918884302891901,615.3513350486755,1435.819781780243
35000,17.65485718,6.900227272977219,20.081280962721937,5.637076111267156,716.4367890357971,1330.5254653521945
40000,19.05209375,6.7677075439468055,20.111281007329715,5.427610959873828,817.1155490875244,1225.6733236312866
45000,19.05929104,6.83850761597146,20.474945515635074,5.583607296993764,917.1576387882233,1120.9704474078285
50000,20.22560082,5.717309110317317,21.561328754532287,3.971754115838465,1018.8127021789551,1018.8127021789551
55000,20.0996462,5.965656364536454,21.338678665967926,4.147181207456397,1120.0954926013947,916.4417666738684
60000,18.25402196,6.770033040297033,21.428577987340045,4.182238070485268,1221.6657319068909,814.4438212712605
65000,19.259794890000002,6.638669369080001,22.038286986440653,2.695794648891024,1323.419807434082,712.6106655414288
70000,20.531050439999998,5.775492725005127,20.984968570100328,4.561518024682169,1430.1406559944153,612.9174239976065
75000,18.76726515,7.304812297228197,20.245068121316013,5.41626258656034,1530.1902422904968,510.0634140968323
80000,19.26338955,6.467823275946315,21.5201397069087,4.223954076798108,1633.0953340530396,408.2738335132599
85000,18.60492674,7.608150329529779,22.056285931826153,3.64836342389906,1746.8419456481934,308.26622570262236
90000,18.488759390000002,7.271648898871862,21.60958883970468,3.7862429850723975,1850.4806966781616,205.60896629757352
95000,18.72624636,7.421912430975542,22.026188572774497,3.6444326614393825,1953.1972012519836,102.79985269747282
100000,18.92121754,6.887880612898185,22.479571575380405,2.5417906491222184,2057.9978816509247,0.0
