method,episode,step,reward,ttc_min,thw_min,drac_max,risk_score,raw_action,final_action,chosen_source
masked_merge,0,0,0.7202777735243868,9.176470588235293,0.8142905648589548,0.4637763356899159,1.3846904484373066,2,4,mask
masked_merge,0,1,0.7442787408770472,10.24326493066275,0.8357453418275697,0.36445171397513487,1.2909004138960927,2,4,mask
masked_merge,0,2,0.7550405964204662,9.003161675893457,0.8571213572359307,0.18296329889622967,1.169206816052398,2,4,mask
masked_merge,0,3,0.7613844537042802,7.73937291017941,0.8745409371949577,0.19491706499937408,1.1759253137382648,2,2,rl
masked_merge,0,4,0.7658409498749623,7.8081676869332775,0.8920790999128508,0.18655860523920662,1.1517876457738287,2,2,rl
masked_merge,0,5,0.7777259054995918,8.65853569817535,0.91013485003986,0.14798164572965386,1.0982725812826684,2,2,rl
masked_merge,0,6,0.7878432092358396,9.73192349012339,0.9231213910519805,0.11455167812196006,1.0531105347794778,2,2,rl
masked_merge,0,7,0.7949285050374225,11.099371712733419,0.9325334021024008,0.08634070801112673,1.0246825428428141,2,2,rl
masked_merge,0,8,0.8003595615885888,12.889226952539422,0.9397155993592193,0.06293255589474515,1.004080933912627,2,2,rl
masked_merge,0,9,0.804734277063795,15.28673987989217,0.9455940269453965,0.04408592256299557,0.9874805862990854,2,2,rl
masked_merge,0,10,0.8082122869672441,18.592073924560406,0.9508017387475695,0.02943891218983597,0.9740585271915303,2,2,rl
masked_merge,0,11,0.8109468318878471,23.338466233914865,0.9557647663940926,0.01849588946356481,0.9631235762050249,2,2,rl
masked_merge,0,12,0.8130833009771623,30.57939185327097,0.9607627997579603,0.010688949026781006,0.9540850759007788,2,2,rl
masked_merge,0,13,0.8147538539167731,42.73014227872765,0.9659725708801542,0.00544196574745834,0.9464460451562559,2,2,rl
masked_merge,0,14,0.8160733758223122,66.81783887358986,0.9714989857583048,0.002216437368718288,0.9397995847051552,2,2,rl
masked_merge,0,15,0.8171378250167719,135.53172445047343,0.9773974423786169,0.0005373819214675082,0.9338226270402579,2,2,rl
masked_merge,0,16,0.8180234448847997,1651.736102497444,0.9836897731027612,9.647529560480623e-06,0.9282703175146765,2,2,rl
masked_merge,0,17,0.818847897720442,2748.2183247136095,0.9903755719705654,4.761086740947864e-06,0.9227772229056087,2,2,rl
masked_merge,0,18,0.8197065449651614,3911.0870445500805,0.9974401872330837,2.3496451342728314e-06,0.9170545155685503,2,2,rl
masked_merge,0,19,0.8205951533355588,5565.9877162645225,1.00486031162646,1.1595779454471978e-06,0.9111312531440263,2,2,rl
masked_merge,0,20,0.821508952952295,7921.22190883952,1.0126078488279353,5.722587513679244e-07,0.9050396472452474,2,2,rl
masked_merge,0,21,0.8224430617782692,11273.395569044931,1.020652548541396,2.8240495305227915e-07,0.8988124483079521,2,2,rl
masked_merge,0,22,0.8233927484592648,16044.904124320838,1.0289637666280729,1.3935814663704434e-07,0.8924812991325192,2,2,rl
masked_merge,0,23,0.824353587603262,22837.328416477314,1.037511607433517,6.876486955685036e-08,0.886075751901389,2,2,rl
masked_merge,0,24,0.8253215433294939,32507.476758155874,1.0462676332273186,3.3929002585429124e-08,0.8796227369504208,2,2,rl
masked_merge,0,25,0.8262930053399827,46275.646278171196,1.0552052732572876,1.6739569832193457e-08,0.8731463350067838,2,2,rl
masked_merge,0,26,0.8272647941279179,65879.70705642029,1.064300026992893,8.25824112899055e-09,0.8666677487414354,2,2,rl
masked_merge,0,27,0.8282341467552943,93794.33912087529,1.0735295287630928,4.073849903214929e-09,0.8602054006818538,2,2,rl
masked_merge,0,28,0.8291986910492196,133542.89474539505,1.082873521294212,2.0095707378949355e-09,0.8537751067652044,2,2,rl
masked_merge,0,29,0.8300720694462608,284.13188331744533,1.0923137715124107,0.00044391738535261164,0.8476566405344093,2,2,rl
masked_merge,0,30,0.7987277882533049,75.57938491618718,1.1018339518517206,0.00626528870966738,0.8448213885507528,2,2,rl
masked_merge,0,31,0.7957923022208577,45.39311775546735,1.1114195030838425,0.017303286469712197,0.8451821893352476,2,2,rl
masked_merge,0,32,0.7922265416460506,33.0637545883261,1.121057489547335,0.032391785767672494,0.8480470025710805,2,2,rl
masked_merge,0,33,0.823809509412429,26.270780178909295,1.1263997833630917,0.050901770809685214,0.8557684718103987,2,2,rl
masked_merge,0,34,0.8257706909137912,28.806869327412194,1.129238917695611,0.04198949047093308,0.8486354486938186,2,2,rl
masked_merge,0,35,0.8274328280223164,31.682641675842433,1.131718264062165,0.03446669549436871,0.8425697312880266,2,2,rl
masked_merge,0,36,0.82883277961302,31.01274754444195,1.1338859078715116,0.028165390332814514,0.8374375907910385,2,2,rl
masked_merge,0,37,0.8193332556559936,17.169217435856076,1.135783085034629,0.07909328715134199,0.8668158192921968,2,2,rl
masked_merge,0,38,0.8055090136323966,12.275788517081597,1.137445218889167,0.15266503873797593,0.9099295983917542,2,2,rl
masked_merge,0,39,0.793610170269632,10.230330309646265,1.1389027938228322,0.21600115660376348,0.9470311422329932,2,2,rl
