method,episode,step,reward,ttc_min,thw_min,drac_max,risk_score,raw_action,final_action,chosen_source
baseline_merge,0,0,1.0085470085470087,7.799999999999999,0.8178217821782178,0.6410256410256412,1.5060287452675831,2,2,rl
baseline_merge,0,1,1.0085470085470087,7.599999999999997,0.8522336769759448,0.6578947368421055,1.480025466894589,2,2,rl
baseline_merge,0,2,1.0085470085470087,7.399999999999996,0.898207885304659,0.6756756756756761,1.4462029507575735,2,2,rl
baseline_merge,0,3,1.0085470085470087,7.199999999999994,0.9573033707865161,0.694444444444445,1.4062363067308148,2,2,rl
baseline_merge,0,4,1.0085470085470087,6.999999999999995,1.0313725490196066,0.7142857142857149,1.3620939706696658,2,2,rl
baseline_merge,0,5,1.0085470085470087,6.5246316304459056,1.1189189354266909,0.7352941176470591,1.3244176630447007,2,2,rl
baseline_merge,0,6,1.0085470085470087,5.66107046420455,1.1995673078786178,0.7575757575757576,1.3130976291496594,2,2,rl
baseline_merge,0,7,1.0085470085470087,5.031342120148075,1.1559448105516945,0.7812499999999997,1.3745786882025797,2,2,rl
baseline_merge,0,8,1.0085470085470087,4.5364593510259645,1.1089736792071354,0.8083109277249999,1.4418105127479712,2,2,rl
baseline_merge,0,9,1.0085470085470087,4.126024969978702,1.0592325127928475,0.9332948256788737,1.5726047415877777,2,2,rl
baseline_merge,0,10,1.0085470085470087,3.7716703916994287,1.0071749882889098,1.0620102937002032,1.7116415915524217,2,2,rl
baseline_merge,0,11,1.0085470085470087,3.45620835421072,0.9531635834984352,1.1969027620226238,1.86178635190318,2,2,rl
baseline_merge,0,12,1.0085470085470087,3.168624487397755,0.8974923551801074,1.3408508409477395,2.026477354281437,2,2,rl
baseline_merge,0,13,1.0085470085470087,2.9015416574191693,0.8404028578700405,1.497342526974306,2.209974303752755,2,2,rl
baseline_merge,0,14,1.0085470085470087,2.649840422549703,0.7820955914159782,1.6707507132260917,2.417724508344595,2,2,rl
baseline_merge,0,15,1.0085470085470087,2.4098637133359957,0.7227384356609396,1.8667555267915805,2.656915683946515,2,2,rl
baseline_merge,0,16,1.0085470085470087,2.1789359061396616,0.6624729965987882,2.0930062653371118,2.937339762768434,2,2,rl
baseline_merge,0,17,1.0085470085470087,1.9550601183168865,0.601419468715677,2.3601983837864435,3.2727986560800675,2,2,rl
baseline_merge,0,18,1.0085470085470087,1.7367210572909026,0.53968042019047,2.683908964953139,3.683501847376924,2,2,rl
baseline_merge,0,19,1.0085470085470087,1.5227527706953101,0.47734378113612574,3.087903581459838,4.200388541177112,2,2,rl
baseline_merge,0,20,1.0085470085470087,1.312247616622234,0.41448523209336086,3.610511521547124,4.873463165703498,2,2,rl
baseline_merge,0,21,1.0085470085470087,1.1044921672427315,0.35117013426625854,4.318009088170943,5.789296982065734,2,2,rl
baseline_merge,0,22,1.0085470085470087,0.8989211578370829,0.28745510477252195,5.336027750714654,7.11210455214756,2,2,rl
baseline_merge,0,23,1.0085470085470087,0.6950837997987737,0.22338931346988414,6.935524644692149,9.196182139274391,2,2,rl
baseline_merge,0,24,0.15384615384615377,0.516321317131725,0.16666666666666666,9.37777690540297,12.378444592669386,2,2,rl
