method,steps,seed_count,reward_mean,reward_std,collision_rate_mean,collision_rate_std,success_rate_mean,success_rate_std,avg_speed_mean,avg_speed_std,episode_length_mean,episode_length_std,lane_change_count_mean,lane_change_count_std,ttc_min_mean,ttc_min_std,thw_min_mean,thw_min_std,drac_max_mean,drac_max_std,risk_exposure_mean,risk_exposure_std,risk_exposure_v1_mean,risk_exposure_v1_std,risk_exposure_v2_mean,risk_exposure_v2_std,risk_score_max_mean,risk_score_max_std,risk_score_v1_max_mean,risk_score_v1_max_std,risk_score_v2_max_mean,risk_score_v2_max_std,same_lane_front_risk_mean,same_lane_front_risk_std,target_rear_risk_mean,target_rear_risk_std,target_front_risk_mean,target_front_risk_std,near_miss_count_mean,near_miss_count_std,target_gap_size_mean,target_gap_size_std,target_rear_distance_mean,target_rear_distance_std,target_rear_relative_speed_mean,target_rear_relative_speed_std,p_yield_mean,p_yield_std,p_block_mean,p_block_std,method_label
rule_drac,0,1,10.798485910118329,0.0,1.0,0.0,0.0,0.0,24.391477272727272,0.0,13.5,0.0,2.0,0.0,1.4578152317194164,0.0,0.2523081788380793,0.0,1.6820959319339892,0.0,8.989521167877387,0.0,24.746667029173217,0.0,8.989521167877387,0.0,2.0427344829928997,0.0,4.753991341094412,0.0,2.0427344829928997,0.0,0.15345415289140668,0.0,0.0,0.0,0.005746823256417077,0.0,2.0,0.0,155.68967314937595,0.0,1000000.0,0.0,-24.391477272727272,0.0,0.8394101612181359,0.0,0.16058983878186373,0.0,rule_drac
rule_riskmin,0,1,16.311266686512557,0.0,1.0,0.0,0.0,0.0,23.478756732345005,0.0,21.0,0.0,0.0,0.0,0.7648369086186391,0.0,0.11308613180862852,0.0,6.82908519987555,0.0,16.051673456726235,0.0,57.16174528978201,0.0,16.051673456726235,0.0,4.668433939774656,0.0,13.27965970801172,0.0,4.668433939774656,0.0,0.10408478476548147,0.0,1.014200832298927e-07,0.0,0.07311052105969372,0.0,3.0,0.0,126.0277226397844,0.0,863643.2520738931,0.0,-20.848384796009974,0.0,0.7777964939819342,0.0,0.22220350601806566,0.0,rule_riskmin
rule_ttc_thw,0,1,22.819170720394037,0.0,0.0,0.0,1.0,0.0,21.108609794628755,0.0,30.0,0.0,1.0,0.0,3.9409613812717588,0.0,0.7923026199231583,0.0,0.8035816070533184,0.0,4.029760262351636,0.0,21.251496213411855,0.0,4.029760262351636,0.0,0.7808192585804321,0.0,1.9098566261582346,0.0,0.7808192585804321,0.0,0.008280137370725084,0.0,0.0,0.0,0.001681693229176077,0.0,0.0,0.0,158.86396163224853,0.0,1000000.0,0.0,-21.108609794628755,0.0,0.8457249421240445,0.0,0.15427505787595583,0.0,rule_ttc_thw
