step,train_mean_reward_mean,train_mean_reward_std,eval_mean_reward_mean,eval_mean_reward_std
5000,10.006596016666668,0.7433449531690108,14.359239706292096,6.31249900383268
10000,15.665893676666668,1.1144143801556727,19.81496272736753,1.3647060444956272
15000,19.58948171,0.4450846721099443,20.163583774047016,2.168182868384697
20000,19.08140441,2.0076926884767454,21.167837810478762,1.368264079164373
25000,17.160233083333335,1.6829123203912708,18.009300277878065,2.980184641184484
30000,17.34439541,0.9946634928318868,20.896489573007912,0.42260400197764203
35000,19.96505796,1.0193736999533327,22.41856908443586,1.4018983306486115
40000,20.59251808,0.801159356497522,23.35883349589462,1.108177510151171
45000,20.77758105,1.2643717288258545,23.108768194724444,1.3181559971380403
50000,21.46599173333333,0.37519639343786026,23.913952258953838,0.43612237726531217
55000,20.233132186666666,0.5689167367674756,22.756736538802844,1.3441870012713866
60000,20.64988719,0.4514262412063507,23.431241300281304,1.3574357054785133
65000,20.9179402,0.9347476421322396,23.594495320112582,2.0053216351978644
70000,21.35153202666667,0.7350629155671758,23.649475688857176,0.8814738349675255
75000,21.762070726666668,0.7563565087910895,23.128247238432863,1.6837291837330397
80000,22.12231690333333,1.049082889417791,23.64242184042732,0.9199803699811441
85000,20.24333611333333,0.6337630231746344,24.140762206358335,1.1259598055403464
90000,22.479584920000004,2.1973801177501118,25.371420812562445,0.4532003372831981
95000,21.28593668666667,0.5516790794281567,24.57787161121325,0.6410467770506911
100000,21.13756515333333,0.8258063902965114,24.973020954184506,0.3064548687801327
