run_name,method,steps,seed,stage,method_label,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_exposure_v1,risk_exposure_v2,risk_score_max,risk_score_v1_max,risk_score_v2_max,same_lane_front_risk,target_rear_risk,target_front_risk,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),0,29.276459872005546,0,1,29.974723538704584,30,7,0.6015631111531224,0.2168505559764768,8.988545176425376,50.05623401427638,82.61626916466348,50.05623401427638,7.119063618151633,10.93642562283314,7.119063618151633,0.13145874158595441,0.0,0.18455387420677055,7,111.89964180628407,433348.9020458929,-18.410152350785914,0.7462312348926967,0.2537687651073035,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),1,29.175525642479837,0,1,29.974723538704584,30,9,0.37749934364650634,0.11279797730229198,11.872991838276691,61.679847221190116,106.69485542376256,61.679847221190116,7.150737491108091,15.921431836887106,7.150737491108091,0.18081479210220808,0.0,0.24709560242497358,10,118.36280582493853,500022.11576087505,-19.344162326138424,0.7613492625492585,0.23865073745074145,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),2,29.09666801998124,0,1,29.499568267844953,30,6,0.5853866489610816,0.16850117516550364,8.900757661070465,51.93135554159282,85.25064388187745,51.93135554159282,7.0562271763757645,11.09687061977569,7.0562271763757645,0.13837467563802658,0.0,0.2087283692016019,7,121.37754411661618,533356.0105828049,-19.81597146746128,0.7667133548437004,0.23328664515629977,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),3,28.87725627767304,0,1,29.64139020537126,30,5,0.45063984200110196,0.0899765482955053,5.557555773364046,41.76569828271784,75.23286200322114,41.76569828271784,4.757271594103295,13.736381840103775,4.757271594103295,0.16331238786516844,0.0,0.09653119194100472,6,109.48953280112394,366690.8862951894,-16.70118818364433,0.7424267513378122,0.25757324866218806,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),4,27.149297269971754,0,1,27.191555801150443,30,8,0.6233898423138593,0.23468919217179304,9.058679744958026,31.840216150070894,59.920243029143386,31.840216150070894,7.196571299418632,10.674716556630353,7.196571299418632,0.09206700072723122,0.0,0.11577466559676682,3,123.99343067855234,666677.8989274998,-20.3698893680358,0.7725040271921212,0.22749597280787917,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),5,28.962699810842633,0,1,29.166228336407787,30,7,0.7252956193409963,0.2384889176491354,6.800320050530548,39.282741183815396,68.17591503566507,39.282741183815396,5.633551297148223,8.969053685661647,5.633551297148223,0.18617506581626572,0.0,0.05196019087122789,6,136.02220805157174,700011.8331026818,-22.967628395710737,0.7998741556874734,0.20012584431252678,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),6,26.065600828507424,0,1,25.500438332509706,30,3,0.018919364066880707,0.0060254225282832235,252.50250846295484,35.157511104883376,85.02551063759745,35.157511104883376,7.355138532464615,24.203174507505768,7.355138532464615,0.1192934762776454,0.0,0.14319323568481476,5,134.18138576572736,800006.5332537473,-21.571851633280307,0.7937759311715015,0.20622406882849892,0
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),7,5.0131129650983235,1,0,27.433615188794317,6,1,0.6630966606209104,0.29517519170229906,10.06965438864473,17.837410988384995,23.769181626590353,17.837410988384995,7.214730062919743,10.309266208437096,7.214730062919743,0.41670766167712464,0.10128180567017965,0.0,3,147.46857324784682,833334.0525457994,-24.095743843269236,0.7706032238933594,0.22939677610664053,1
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),8,16.3445427623005,1,0,29.144539231174306,18,5,0.21596302934102515,0.07584273182735408,24.391943127706384,38.39071748256904,67.47592105392023,38.39071748256904,7.396583819771105,18.835619043284986,7.396583819771105,0.21872467151586888,0.003463341358501187,0.21414320554420874,6,97.74942943816119,277804.841509421,-14.559692668635762,0.7040810493002676,0.2959189506997324,1
official_sb3_dqn_highway_fast_steps100000_seed0,official_sb3_dqn_highway_fast,100000,0,formal,official_sb3_dqn_highway_fast (100k),9,10.718767595603728,1,0,25.658364224604135,13,3,1.9830327010906916,0.30131799788065644,2.395307178870645,13.266738258350074,28.23886016763511,13.266738258350074,2.3060213579876474,3.5030622919725696,2.3060213579876474,0.1677331704545862,0.0,0.027669151802243372,1,145.89010251159868,769238.9394313376,-21.44575199101151,0.8184529915115277,0.1815470084884721,1
