metric,bin_left,bin_right,count
p_yield,0.0,0.1,0
p_yield,0.1,0.2,0
p_yield,0.2,0.30000000000000004,0
p_yield,0.30000000000000004,0.4,0
p_yield,0.4,0.5,0
p_yield,0.5,0.6000000000000001,0
p_yield,0.6000000000000001,0.7000000000000001,34
p_yield,0.7000000000000001,0.8,445
p_yield,0.8,0.9,321
p_yield,0.9,1.0,0
p_block,0.0,0.1,0
p_block,0.1,0.2,321
p_block,0.2,0.30000000000000004,445
p_block,0.30000000000000004,0.4,34
p_block,0.4,0.5,0
p_block,0.5,0.6000000000000001,0
p_block,0.6000000000000001,0.7000000000000001,0
p_block,0.7000000000000001,0.8,0
p_block,0.8,0.9,0
p_block,0.9,1.0,0
