method,seed,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_score_max,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,29.276459872005546,0,1,29.974723538704584,30,7,0.03403237907630651,0.01177827323067264,154.8908601225646,241.31546799556043,24.02250000000155,30,129.2329751396174,15.56871255965164,-18.410152350785914,0.9999929435675828,7.056432417251735e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,1,29.175525642479837,0,1,29.974723538704584,30,9,0.11182115241585115,0.03125687461707685,37.496340320016905,244.23862269151167,22.965351852226295,29,136.36280582493853,22.115760875030457,-19.344162326138424,0.9999963352076073,3.6647923926806197e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,2,29.09666801998124,0,1,29.499568267844953,30,6,0.07682521764120481,0.02860091873597392,74.54601201333736,210.32130044771998,24.02250022690314,28,143.3461300927643,21.931343736316414,-20.512742690547213,0.999993074984134,6.925015865992071e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,3,28.87725627767304,0,1,29.64139020537126,30,5,0.1029586568876166,0.005017586957976451,52.06167604337134,211.00816873810368,23.731386413776246,30,124.15619946779061,24.219628522740376,-16.70118818364433,0.9999944439426405,5.556057359682824e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,4,27.149297269971754,0,1,27.191555801150443,30,8,0.044279419919192535,0.012069741434075928,92.33904527919921,175.85065877516115,24.026356854104797,27,147.99343067855233,11.232260833065803,-20.3698893680358,0.9999724303382885,2.756966171170161e-05,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,5,28.962699810842633,0,1,29.166228336407787,30,7,0.033471107401149246,0.0024951852579395426,163.6093293694033,248.90274202354124,24.02625000000155,30,162.6888747182384,11.83310268180349,-22.967628395710737,0.999996850771599,3.1492284010707178e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,6,26.065600828507424,0,1,25.500438332509706,30,3,0.018919364066880707,0.0060254225282832235,252.50250846295484,184.452723645499,24.03000968984407,29,163.51471909906067,6.533253747239011,-21.571851633280307,0.9999932340355842,6.765964415970475e-06,0
official_sb3_dqn_highway_fast_steps100000_seed0,0,7,5.0131129650983235,1,0,27.433615188794317,6,1,0.17957938267842366,0.05953110900398925,27.689774378467032,52.27644272126394,19.58356797860252,6,180.80190658118013,0.7192124659972592,-24.095743843269236,0.9999745766077006,2.542339229932855e-05,1
official_sb3_dqn_highway_fast_steps100000_seed0,0,8,16.3445427623005,1,0,29.144539231174306,18,5,0.0670123435579193,0.01281299605563751,70.57468922494681,144.44719020796876,24.02252224297975,18,108.8605405492723,27.063731643253206,-14.559692668635762,0.9999763094064811,2.3690593519057027e-05,1
official_sb3_dqn_highway_fast_steps100000_seed0,0,9,10.718767595603728,1,0,25.658364224604135,13,3,0.1988787460583559,0.07072770750945657,26.36290039129872,110.3837560448399,19.05443938584259,13,172.04394866544484,8.170200568421674,-21.44575199101151,0.9999957254470953,4.274552904910582e-06,1
official_sb3_dqn_highway_fast_steps100000_seed0,0,10,27.275171814552284,0,1,27.808058004591423,30,9,0.007597055933225157,0.002525733171125067,640.1288507288966,192.5915384826027,24.030064790075837,30,128.3595946105123,15.160320115088666,-18.412224687295144,0.9999795846055963,2.041539440367964e-05,0
