step,train_mean_reward,train_std_reward,eval_mean_reward,eval_std_reward,elapsed_sec,eta_sec
5000,10.49969504,6.599804598630224,14.763270642422047,7.426899077095472,111.25625109672546,2113.868770837784
10000,14.383911060000003,7.704641955490628,18.322181580748584,6.555373085922418,226.36026000976562,2037.2423400878906
15000,20.08076393,5.6559871104560475,17.666815068111525,6.905763027801693,339.50628638267517,1923.8689561684926
20000,16.77163069,7.88113807830719,20.02609160255559,6.779132221335226,454.17610025405884,1816.7044010162354
25000,15.33082751,8.074577301887519,14.977498715805416,6.8371080162639135,567.1600806713104,1701.4802420139313
30000,17.29962998,8.018889091439018,20.443728475661803,6.947660238357024,681.3237307071686,1589.7553716500602
35000,18.87574431,8.072690633905976,20.83983987505468,5.716813847534214,795.5357937812805,1477.423617022378
40000,20.52948762,7.209006416527829,24.535261377743957,4.602097979807391,912.223557472229,1368.3353362083435
45000,21.830314269999995,7.3022821894689836,21.601830811919797,6.186895655874744,1027.1594479084015,1255.4171029991574
50000,21.041622819999997,7.823439690516047,24.323388328345178,5.073813325545061,1143.423194885254,1143.423194885254
55000,19.58467069,7.975760758625648,21.674993111630673,6.530463899391718,1259.5420660972595,1030.5344177159395
60000,20.621332210000002,7.982665105931939,23.457988917791386,6.386036341498792,1375.9303636550903,917.2869091033936
65000,21.964196459999997,7.287728114971926,22.804525206965348,4.850687408798226,1491.8558638095856,803.3070035897769
70000,21.457700200000005,8.657515006045543,22.975083588640775,5.943315201645713,1608.8407940864563,689.5031974656241
75000,20.898449960000004,8.402303712259696,22.023839641980295,7.620732497643884,1725.086621761322,575.0288739204407
80000,21.83375987999999,7.6935307038727485,23.642930337285154,6.696179883748555,1841.8827495574951,460.4706873893738
85000,19.512352850000003,8.805085303110584,25.42472316005609,5.748312114593424,1960.0573754310608,345.892478017246
90000,19.99720023,8.502025732799309,25.033272397587943,5.86897988039641,2078.117003917694,230.90188932418823
95000,20.66201153,8.059859392293722,24.81014050116813,4.767396450429135,2196.1731803417206,115.58806212324845
100000,20.77584148,9.225654799048444,25.12676277032945,5.809153755751892,2314.8557312488556,0.0
