step,train_mean_reward,train_std_reward,eval_mean_reward,eval_std_reward,elapsed_sec
1000,7.81640405263158,5.510278683550702,18.39775176589952,5.204880190412532,24.664920330047607
2000,10.901381580000002,7.284890525844339,18.166195083220025,7.559014468935286,49.94599890708923
3000,13.313383040000002,7.6925639472451754,17.47866384742534,6.599407328366062,74.86367702484131
4000,12.498679340000002,6.869034069996552,19.616115239987874,3.9931106254813655,100.59402775764465
5000,12.23122563,6.076942822755673,13.264444890032456,6.512915674974719,124.44327092170715
6000,14.09265184,6.775151804922021,18.01749487030438,7.150578081369834,149.40960383415222
7000,16.692643110000002,6.740001122627197,21.833114146309818,1.0069148770451042,175.66132497787476
8000,19.09690423,5.866526649818002,17.018029124316325,7.25706109637529,200.26527380943298
9000,19.133752339999997,6.088686020347408,21.900045958004828,2.291374639294271,226.0621452331543
10000,18.87752524,6.657983425660058,19.408759206433235,6.325249520917843,251.54464387893677
11000,18.859326629999998,6.5646311500602765,19.221737855922214,6.822302447229077,276.6912114620209
12000,19.51426771,6.437084155987126,17.072076938917366,7.416475851480969,301.3639328479767
13000,19.81999237,6.444591834665571,21.721653228311474,5.612746916539817,327.83198857307434
14000,19.465508009999997,7.029433524772756,22.096109935216845,2.832438976448856,353.78957295417786
15000,19.681491360000006,6.429896766888025,21.907710405757012,1.944481832542718,379.95488381385803
16000,19.188495449999998,6.7389501591810745,21.640092762845086,4.6389650992665725,405.7067492008209
17000,19.134990430000002,6.6588987983061125,23.027716015978477,0.6863552255726223,431.94832158088684
18000,20.45610818,5.965986524599058,23.12264451762935,1.0072286290614947,457.9574625492096
19000,20.955153560000003,5.523847262835026,22.964760402948663,0.924011732234967,483.83811116218567
20000,20.330922660000002,6.227868263850882,23.037216548440853,1.0207687834712749,509.83010268211365
