step,train_mean_reward,train_std_reward,eval_mean_reward,eval_std_reward,elapsed_sec,eta_sec
5000,10.368488560000001,5.86439086551008,20.46001829526056,4.7939389813916575,114.15993142127991,2169.0386970043182
10000,16.40337249,7.738170438647346,20.99853281084093,4.1714190191841585,229.07361674308777,2061.66255068779
15000,19.47453758,6.753840368555445,21.25188542166283,5.397400496525272,343.67019057273865,1947.4644132455192
20000,20.06442227,7.081944197023327,22.684468963759162,4.85462543854668,458.8778166770935,1835.511266708374
25000,18.64251874,7.5288409541839405,18.11536597575315,6.991207456075396,571.4946494102478,1714.4839482307434
30000,16.37287043,7.934796120634359,20.965232296160004,7.780566221717812,685.8696186542511,1600.362443526586
35000,20.895939549999998,6.9336330022339805,22.898047432476755,4.751678254510361,801.9901120662689,1489.4102081230708
40000,19.824735689999997,7.234586053024173,22.334648829908673,6.551027855337236,916.4916231632233,1374.737434744835
45000,19.375171949999995,8.190983400092883,24.047682366040412,3.5041128741923613,1032.460078716278,1261.8956517643398
50000,21.60264075,7.611615369138862,23.963152137691967,5.421751011527274,1149.0918576717377,1149.0918576717377
55000,20.46631614,8.315526241280951,24.26156471546925,4.904757693470875,1265.054498910904,1035.0445900180123
60000,20.21341629,8.689553304127466,24.77510553926369,6.57913982497862,1380.9481039047241,920.6320692698162
65000,20.6245163,8.84434254838667,25.874493712406462,4.008062373592285,1498.5399041175842,806.9061022171608
70000,20.56915806,8.710941317742632,23.326450114731028,7.746474590110854,1614.7481818199158,692.0349350656782
75000,22.08121103,8.472225757609603,25.066148283473083,5.854297107315193,1731.2678453922272,577.0892817974091
80000,23.28548012,7.248754743642418,24.5621478565823,6.348994270761947,1849.2368302345276,462.30920755863184
85000,20.578774940000002,8.760289422428817,23.321669658415704,8.012224065228965,1965.5252063274384,346.85738935190085
90000,23.266020110000003,8.096318601934584,25.88637402028139,3.91810153999923,2082.9381070137024,231.43756744596695
95000,21.70920001,8.94477157232719,25.070407308789576,4.746893354078377,2200.4793753623962,115.81470396644191
100000,20.554343760000002,9.330232364983951,24.620129798529742,7.782300346828661,2317.3922955989838,0.0
