run_name,method,steps,seed,stage,method_label,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_score_max,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),0,23.333683999341115,0,1,21.667104999176388,30,0,6.561012640713301,1.5005536088095455,0.685163384530468,19.62284845836543,1.0601335128655522,0,160.0,1000000.0,-21.667104999176388,0.8481288363433409,0.1518711636566593,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),1,24.481689429865995,0,1,24.68861454046648,30,5,0.13594568262954643,0.04595389088660015,37.297752133495884,73.87942747480983,21.532161729112065,3,114.89537923190701,500023.2557537145,-14.832821749423124,0.755762922969245,0.24423707703075503,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),2,22.68688783570301,0,1,20.85860979462875,30,0,5.020002652210353,1.2728627793261542,0.6801441822038392,24.28354320907012,1.2816583468734217,0,160.0,1000000.0,-20.85860979462875,0.8481288363433409,0.1518711636566593,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),3,23.220221169036336,0,1,21.525276461295416,30,0,6.545171683729554,0.9430254130027093,0.45843803360737295,24.07136180362469,1.048177656004464,0,160.0,1000000.0,-21.525276461295416,0.8481288363433409,0.15187116365665934,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),4,9.830849033304839,1,0,23.676865193081888,13,5,1.0427455365780376,0.2667661210380754,3.065573537881123,26.05077584890466,5.9667500127323265,2,118.80676040230377,1000000.0,-23.676865193081888,0.7688759938639268,0.2311240061360733,1
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),5,22.28688186007326,0,1,20.35860232509157,30,0,11.884215441420345,1.0950819428671539,0.16720457333690852,18.44239666993145,0.9177245202254258,0,160.0,1000000.0,-20.35860232509157,0.8481288363433409,0.15187116365665934,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),6,21.817688895547356,0,1,21.025276461295423,30,3,3.0201334590063493,0.32792858619747556,0.7743074412650346,46.70896563985547,2.7202995624615562,0,101.50857869471696,1000000.0,-21.025276461295423,0.732241867168007,0.2677581328319929,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),7,22.02022037001204,0,1,20.85860979462875,30,1,3.6932542274196174,0.724588012704372,1.1310494612107065,27.028077618383364,1.6885157015622005,0,120.67666732498343,1000000.0,-20.85860979462875,0.771673886327661,0.22832611367233907,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),8,23.08688783570301,0,1,21.35860979462875,30,0,4.8316823031571605,1.3938363693599813,0.9064263374013115,20.62956906740653,1.398012826085215,0,160.0,1000000.0,-21.35860979462875,0.8481288363433409,0.15187116365665934,0
official_sb3_dqn_highway_fast_steps20000_seed0,official_sb3_dqn_highway_fast,20000,0,smoke,official_sb3_dqn_highway_fast (20k),9,25.11865043182719,0,1,25.025276461295405,30,3,0.6132062158085035,0.10882970221898645,4.235335691225412,50.47322021334802,11.409121936938677,2,129.292387938996,733341.3411080576,-19.660050492949754,0.7839862481945618,0.21601375180543864,0
