method,seed,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_score_max,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps100000_seed1,1,0,28.22796693219904,0,1,28.833275610829507,30,10,0.08535284744603863,0.03281971246772694,66.11819322488815,221.87265669147874,24.026257023170732,29,126.07100017616766,20.840199190367976,-17.82555994967227,0.9999937477170826,6.252282917447912e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,1,29.295709701019284,0,1,29.666228334156944,30,8,0.07682521764120481,0.0024173829591249154,74.54601201333736,222.0354296201094,24.02250022690314,29,152.68786038896906,18.112842746156208,-22.040099312397285,0.9999939447743018,6.055225698164968e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,2,12.82972623205737,1,0,28.699593929386733,14,2,0.1029586568876166,0.03530450532824218,52.06167604337134,92.00902041641187,23.731386413776246,14,177.21711539458167,5.831262386435087,-24.19000175531368,0.9999997657289048,2.3427109552276448e-07,1
official_sb3_dqn_highway_fast_steps100000_seed1,1,3,26.750394873012446,0,1,26.525276458708536,30,6,0.08613758213393892,0.021130914323717442,66.32989339715311,158.05717618030704,24.01875000000155,20,159.8870809999079,3.586363171395459,-21.71688364670306,0.9999786597077345,2.1340292265611034e-05,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,4,28.350426261461806,0,1,28.358228052097864,30,6,0.03346994848892445,0.012219177693968727,163.61499441701935,231.6180357274504,24.02625000000155,30,165.9846863352822,7.239983025565042,-22.810407985478832,0.9999968577720534,3.1422279468062976e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,5,26.298733195106202,0,1,25.667054746214877,30,3,0.01678681838058254,0.003105899978362067,134.55935341101943,168.39267867128117,24.03000993436506,26,177.15099625372562,4.41634884843045,-23.656315829150135,0.9999972661178284,2.7338821718162857e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,6,5.650541071820655,1,0,24.862965289134845,7,1,0.3821419310672631,0.061498420166681556,13.139429544094583,56.97509882849476,12.475456703587009,7,186.58100850764345,0.0,-24.862965289134845,0.9999999652080984,3.47919015185129e-08,1
official_sb3_dqn_highway_fast_steps100000_seed1,1,7,19.68406829076361,1,0,26.782535254186048,23,7,0.0017536730612035477,0.0005910625221379944,2882.8856762796563,187.70329055050058,24.026253104666917,23,110.60400057742734,23.862675567341526,-12.42913442920473,0.9998900797463989,0.00010992025360119808,1
official_sb3_dqn_highway_fast_steps100000_seed1,1,8,25.883461317849616,0,1,25.358609794628055,30,7,0.01497699784193958,0.0047136876616762835,315.2118384754879,240.98397222174532,24.02250000000155,30,181.08940483628328,12.115937018803967,-22.205486918456085,0.9999990345838048,9.65416195464197e-07,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,9,27.881290808039978,0,1,28.358551070827463,30,11,0.020668519679909663,0.006995571044137985,245.63645359813682,243.00321981213762,24.018750245902293,30,142.41701484980715,7.8211302786944445,-19.430785068084113,0.9999857399460381,1.426005396191569e-05,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,10,29.241707323193875,0,1,29.974723538704584,30,10,0.04698600421320918,0.001558813296642889,112.08979156872205,229.61514595928452,24.02625000000155,30,138.13523101741353,17.022750109846662,-20.23872543628788,0.9999855734876151,1.4426512385038819e-05,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,11,24.76051819416054,1,0,28.9268518986074,27,8,0.0497893945330907,0.016939595288775262,102.49922892201815,228.57508757344505,24.03000521935181,27,115.00386748728042,19.70622802319784,-17.636879205053933,0.9999641155990996,3.588440090042234e-05,1
official_sb3_dqn_highway_fast_steps100000_seed1,1,12,28.495388200111456,0,1,28.999561667786086,30,8,0.08786232626856681,0.029434522736391508,57.19018109237614,225.46241080194787,24.02250000000155,30,135.12283075109357,20.329106620029794,-19.26360401304965,0.9999925512563002,7.448743699974465e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,13,28.747564526104632,0,1,29.021509541290605,30,6,0.023525975781893242,0.007574390719165527,205.2772661209758,216.18155048714516,24.03000000000155,30,161.3783918046245,15.92511142122417,-21.82323895484867,0.9999986586916871,1.3413083129594957e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,14,25.51831850021428,0,1,24.858609794628745,30,4,0.091098726344818,0.02773479281354857,50.129292441368726,211.15755369728961,24.02625000000155,30,175.17858942177116,5.747512808857238,-22.02384770444106,0.9999986774080433,1.322591956901912e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,15,28.90953345197992,0,1,29.64182093652464,30,8,0.13676292767460674,0.04190011740075527,36.64966569447999,243.66514106250548,21.338174391907565,30,134.73800514756584,17.413664280548236,-19.82625384841473,0.9999942278938856,5.772106114484051e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,16,26.95029401878085,0,1,26.858609794288082,30,6,0.12250495533286596,0.03822272330381248,48.69566991779688,223.53995223910036,22.177935146778985,30,152.23293819332872,11.770716859782333,-19.151743011074373,0.9999888205196289,1.1179480371344605e-05,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,17,25.282368579479677,0,1,24.522005596599357,30,4,0.2553665191394012,0.05660333351062934,11.389632147576096,130.96657599228868,17.938440129389118,29,178.20428273641218,5.332264822632601,-20.39731122064409,0.9999998012401484,1.9875985180680307e-07,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,18,22.628357072908667,1,0,27.713960232181407,25,6,0.09399675992117826,0.026062575096092624,50.3475532125018,178.65120068968784,24.03000000000155,25,163.6827818024166,9.437088228154249,-21.958712567232737,0.9999829515335824,1.704846641757296e-05,1
official_sb3_dqn_highway_fast_steps100000_seed1,1,19,23.653082202977913,0,1,23.35860979462875,30,2,0.30994685151225104,0.004380785789743413,16.475291634212244,222.94744701160948,16.82688317751864,30,115.89251968382908,21.883121237876903,-9.457257445670868,0.9999901208498932,9.879150106769282e-06,0
official_sb3_dqn_highway_fast_steps100000_seed1,1,20,17.919290989909396,1,0,25.250360601637073,23,2,0.34207685652446645,0.004328441615609215,18.243860573912407,173.158401180029,14.653202059516396,23,73.19487099022581,38.00731969029493,-10.34391855840971,0.9999133598661218,8.664013387798373e-05,1
