run_name,method,steps,seed,stage,method_label,episode,reward,collision,success,avg_speed,episode_length,lane_change_count,ttc_min,thw_min,drac_max,risk_exposure,risk_exposure_v1,risk_exposure_v2,risk_score_max,risk_score_v1_max,risk_score_v2_max,same_lane_front_risk,target_rear_risk,target_front_risk,near_miss_count,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block,collision_flag
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),0,29.37694619264515,0,1,29.974723538704584,30,6,0.032299695554599626,0.010019727324371768,144.0622867564346,66.17856791931646,114.90273230854395,66.17856791931646,8.243622112365717,24.20638248011137,8.243622112365717,0.1715199252965651,0.0,0.30555752139848213,9,116.1352987363393,466693.8092905726,-18.92374222235312,0.7555173549721389,0.24448264502786113,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),1,29.209821786818175,0,1,29.974723538704584,30,7,0.5654805560649686,0.18830559234004154,8.833221569250986,48.740686234261766,78.80340213591778,48.740686234261766,6.990552841427333,11.497527944081357,6.990552841427333,0.15303086933260415,0.0,0.1644227418775598,6,110.7083651349951,400025.2050401822,-17.68205156050182,0.7451197520669282,0.25488024793307207,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),2,27.248406248696703,0,1,27.022386089266835,30,6,0.06615071801166861,0.024879399702189987,85.27920245538257,33.386475280249776,74.4894835500903,33.386475280249776,7.391973976608389,24.226891679998385,7.391973976608389,0.12178300263599606,0.0,0.09607701846873827,4,137.90016614380485,833336.8455601126,-23.559300126499053,0.8022020279700984,0.19779797202990188,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),3,28.650679955196384,0,1,28.69187867298863,30,6,0.7252956193409963,0.2384889176491354,6.800320050530548,35.343427306185895,63.76229538360436,35.343427306185895,5.633551297148223,8.969053685661647,5.633551297148223,0.152489593197186,0.0,0.051052673123021294,3,140.0509034032021,766675.4828432823,-23.85517944840981,0.8077767712466394,0.19222322875336084,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),4,26.06661457076055,0,1,25.50289113954246,30,5,0.08188216380134117,0.02607775994420738,58.342215980045005,27.91970879769259,69.46762783559828,27.91970879769259,7.3331065438932175,24.20289114444415,7.3331065438932175,0.06303594119974731,0.0,0.12398498121198355,3,141.7226774691267,866671.6039867866,-22.796192951268292,0.8100735166251513,0.189926483374849,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),5,24.818318230187987,0,1,23.858609794628748,30,4,0.6837992125145295,0.30439086128236253,9.764787786407606,21.335472122482596,43.154265046360784,21.335472122482596,7.060575214953435,10.112160917415522,7.060575214953435,0.057026328539295984,0.0,0.0648124953567441,2,146.92286743304496,833338.9578817909,-20.463038779492347,0.8219834827371456,0.17801651726285472,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),6,16.37787609557595,1,0,29.144539231174306,18,5,0.21596302934102515,0.07584273182735408,24.391943127706384,36.67219533058819,65.15957597825184,36.67219533058819,7.396583819771105,18.835619043284986,7.396583819771105,0.19239409064122254,0.003463341399146944,0.2224487476472626,5,98.49383238505442,277805.12850960396,-14.521266314878082,0.7060524456189972,0.29394755438100284,1
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),7,25.817684240579354,0,1,25.358609794628055,30,5,0.17467322635028576,0.06639449323047733,32.639931962163935,37.306231058993625,80.7545451504672,37.306231058993625,7.364835562006179,19.898244239990497,7.364835562006179,0.13904139591726655,0.0,0.138562121575413,6,143.5335935241666,733348.724398629,-20.397006262273017,0.8121253890165413,0.1878746109834592,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),8,27.381717615303366,0,1,28.191941995141285,30,11,0.02034563694049472,0.006886286529451687,249.53467370645305,73.48200190143282,167.51118998874642,73.48200190143282,8.167074819002783,24.177804140233757,8.167074819002783,0.25927950838094327,1.6285562481714696e-05,0.2973638368173407,12,94.825433889687,333362.7598165722,-14.760230498424507,0.709372243701983,0.29062775629801707,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),9,29.141569657734394,0,1,29.808056872037916,30,9,0.9119090756626287,0.2982781710470102,5.380338561735798,48.52653162250351,77.92282904953046,48.52653162250351,4.618603346595137,7.226311472754169,4.618603346595137,0.2266460285100887,0.0,0.06685179143384296,5,118.25513816542174,466688.6516748758,-18.589020463178915,0.7624940165897146,0.2375059834102856,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),10,3.9121897623785986,1,0,26.169371388059425,5,2,0.6148267034836405,0.21940772076552112,8.705945688220265,14.293140483431538,22.104672764415458,14.293140483431538,7.269485847319848,10.614503521357333,7.269485847319848,0.5095263008828455,0.0,0.08894934913457106,3,191.33001291407973,1000000.0,-26.169371388059425,0.8557622678924266,0.14423773210757335,1
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),11,29.10932974739917,0,1,29.808056872037916,30,8,0.2675007939009797,0.08723565557953848,18.286689378947354,49.03950092676727,85.01334169349904,49.03950092676727,7.228306366273367,17.91674021440071,7.228306366273367,0.1828266378968211,0.0,0.134419164508014,5,113.81197691312371,500017.87832949177,-19.471024488187705,0.7508142906512597,0.24918570934874035,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),12,28.382585322734958,0,1,28.858163860762698,30,8,0.30332861873248124,0.09284491114291206,15.136313007044173,38.032617146651326,69.49012420787479,38.032617146651326,8.385033704944624,17.499096687074534,8.385033704944624,0.1304700261163764,0.0,0.1253951050831724,3,131.5108193672684,566689.0669463972,-19.557693926454636,0.7921348970232053,0.2078651029767948,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),13,25.484999446823664,0,1,24.858609794367357,30,4,0.8191518861860196,0.23818544654299517,5.32448441422273,29.02686356110954,65.14997867079218,29.02686356110954,4.587398504948127,7.9468558504333915,4.587398504948127,0.08715925753573282,0.0,0.12836243933873473,4,140.55876079026822,833340.113530416,-21.352359529159447,0.8083446811351901,0.1916553188648104,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),14,28.283586121855407,0,1,28.525267858937433,30,7,1.3329344950100077,0.40743192654669014,3.4397644372756013,34.3718557441574,60.240048543672685,34.3718557441574,3.2594165617549935,4.95512672937153,3.2594165617549935,0.12812006126065403,0.0,0.07609314179418301,4,131.8851364627636,700011.3409473348,-22.25219585046474,0.7911066715863253,0.20889332841367497,0
official_sb3_dqn_highway_fast_steps100000_seed2,official_sb3_dqn_highway_fast,100000,2,formal,official_sb3_dqn_highway_fast (100k),15,28.147103229104697,0,1,28.8548428919426,30,7,0.003064136068223958,0.0011126017216110467,1777.5114366308776,61.01115045685081,118.08010049570694,61.01115045685081,7.560808517073604,24.221963354780335,7.560808517073604,0.13959633856038448,0.0,0.30133594004587827,9,108.10162324642125,366694.1567449219,-15.764249778744334,0.7401127618235871,0.25988723817641285,0
